,data_jogo,liga,temporada,local,id_time_casa,time_casa,id_time_fora,time_fora,gols_casa,gols_fora,empate,vitoria_casa,vitoria_fora
4491,2020-02-29 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Dortmund,7,Borussia Dortmund,112,SC Freiburg,1,0,0.0,1.0,0.0
4492,2020-02-29 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Sinsheim,175,TSG 1899 Hoffenheim,40,FC Bayern München,0,4,0.0,0.0,1.0
4493,2020-02-29 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Mainz,81,1. FSV Mainz 05,31,SC Paderborn 07,2,0,0.0,1.0,0.0
4494,2020-02-29 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Augsburg,95,FC Augsburg,87,Borussia Mönchengladbach,0,0,1.0,0.0,0.0
4495,2020-02-29 18:30:00,1. Fußball-Bundesliga 2019/2020,2019,Köln,65,1. FC Köln,9,FC Schalke 04,2,0,0.0,1.0,0.0
4496,2020-03-01 13:30:00,1. Fußball-Bundesliga 2019/2020,2019,Berlin,80,1. FC Union Berlin,131,VfL Wolfsburg,1,0,0.0,1.0,0.0
4497,2020-03-01 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Leipzig,1635,RB Leipzig,6,Bayer Leverkusen,1,1,1.0,0.0,0.0
4498,2020-03-06 20:00:00,1. Fußball-Bundesliga 2019/2020,2019,Paderborn,31,SC Paderborn 07,65,1. FC Köln,0,2,0.0,0.0,1.0
4499,2020-03-07 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Leverkusen,6,Bayer Leverkusen,91,Eintracht Frankfurt,2,0,0.0,1.0,0.0
4500,2020-03-07 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Wolfsburg,131,VfL Wolfsburg,1635,RB Leipzig,0,0,1.0,0.0,0.0
4501,2020-03-07 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Berlin,54,Hertha BSC,134,Werder Bremen,1,2,0.0,0.0,1.0
4502,2020-03-07 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Freiburg,112,SC Freiburg,80,1. FC Union Berlin,1,0,0.0,1.0,0.0
4503,2020-03-07 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Gelsenkirchen,9,FC Schalke 04,175,TSG 1899 Hoffenheim,1,0,0.0,1.0,0.0
4504,2020-03-07 18:30:00,1. Fußball-Bundesliga 2019/2020,2019,Gladbach,87,Borussia Mönchengladbach,7,Borussia Dortmund,0,1,0.0,0.0,1.0
4505,2020-03-08 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,München,40,FC Bayern München,95,FC Augsburg,0,0,1.0,0.0,0.0
4506,2020-03-08 18:00:00,1. Fußball-Bundesliga 2019/2020,2019,Mainz,81,1. FSV Mainz 05,185,Fortuna Düsseldorf,0,0,1.0,0.0,0.0
4507,2020-03-11 18:30:00,1. Fußball-Bundesliga 2019/2020,2019,Gladbach,87,Borussia Mönchengladbach,65,1. FC Köln,1,0,0.0,1.0,0.0
4508,2020-05-16 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Dortmund,7,Borussia Dortmund,9,FC Schalke 04,2,0,0.0,1.0,0.0
4509,2020-05-16 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Leipzig,1635,RB Leipzig,112,SC Freiburg,0,1,0.0,0.0,1.0
4510,2020-05-16 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Sinsheim,175,TSG 1899 Hoffenheim,54,Hertha BSC,0,0,1.0,0.0,0.0
4511,2020-05-16 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Düsseldorf,185,Fortuna Düsseldorf,31,SC Paderborn 07,0,0,1.0,0.0,0.0
4512,2020-05-16 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Augsburg,95,FC Augsburg,131,VfL Wolfsburg,0,1,0.0,0.0,1.0
4513,2020-05-16 18:30:00,1. Fußball-Bundesliga 2019/2020,2019,Frankfurt,91,Eintracht Frankfurt,87,Borussia Mönchengladbach,0,2,0.0,0.0,1.0
4514,2020-05-17 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Köln,65,1. FC Köln,81,1. FSV Mainz 05,1,0,0.0,1.0,0.0
4515,2020-05-17 18:00:00,1. Fußball-Bundesliga 2019/2020,2019,Berlin,80,1. FC Union Berlin,40,FC Bayern München,0,1,0.0,0.0,1.0
4516,2020-05-18 20:30:00,1. Fußball-Bundesliga 2019/2020,2019,Bremen,134,Werder Bremen,6,Bayer Leverkusen,1,2,0.0,0.0,1.0
4517,2020-05-22 20:30:00,1. Fußball-Bundesliga 2019/2020,2019,Berlin,54,Hertha BSC,80,1. FC Union Berlin,0,0,1.0,0.0,0.0
4518,2020-05-23 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Gladbach,87,Borussia Mönchengladbach,6,Bayer Leverkusen,0,1,0.0,0.0,1.0
4519,2020-05-23 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Wolfsburg,131,VfL Wolfsburg,7,Borussia Dortmund,0,1,0.0,0.0,1.0
4520,2020-05-23 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Freiburg,112,SC Freiburg,134,Werder Bremen,0,1,0.0,0.0,1.0
4521,2020-05-23 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Paderborn,31,SC Paderborn 07,175,TSG 1899 Hoffenheim,1,1,1.0,0.0,0.0
4522,2020-05-23 18:30:00,1. Fußball-Bundesliga 2019/2020,2019,München,40,FC Bayern München,91,Eintracht Frankfurt,2,0,0.0,1.0,0.0
4523,2020-05-24 13:30:00,1. Fußball-Bundesliga 2019/2020,2019,Gelsenkirchen,9,FC Schalke 04,95,FC Augsburg,0,1,0.0,0.0,1.0
4524,2020-05-24 15:30:00,1. Fußball-Bundesliga 2019/2020,2019,Mainz,81,1. FSV Mainz 05,1635,RB Leipzig,0,3,0.0,0.0,1.0
4525,2020-05-24 18:00:00,1. Fußball-Bundesliga 2019/2020,2019,Köln,65,1. FC Köln,185,Fortuna Düsseldorf,0,1,0.0,0.0,1.0
4526,2020-05-26 18:30:00,1. Fußball-Bundesliga 2019/2020,2019,Dortmund,7,Borussia Dortmund,40,FC Bayern München,0,1,0.0,0.0,1.0
4527,2020-05-26 20:30:00,1. Fußball-Bundesliga 2019/2020,2019,Leverkusen,6,Bayer Leverkusen,131,VfL Wolfsburg,0,1,0.0,0.0,1.0
4528,2020-05-26 20:30:00,1. Fußball-Bundesliga 2019/2020,2019,Frankfurt,91,Eintracht Frankfurt,112,SC Freiburg,1,1,1.0,0.0,0.0
4529,2020-05-26 20:30:00,1. Fußball-Bundesliga 2019/2020,2019,Bremen,134,Werder Bremen,87,Borussia Mönchengladbach,0,0,1.0,0.0,0.0
4530,2020-05-27 18:30:00,1. Fußball-Bundesliga 2019/2020,2019,Leipzig,1635,RB Leipzig,54,Hertha BSC,1,1,1.0,0.0,0.0
